id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,fname
40435,Women,Apparel,Topwear,Tops,White,Summer,Casual,40435.jpg
18612,Men,Apparel,Topwear,Tshirts,Black,Fall,Sports,18612.jpg
21998,Women,Accessories,Bags,Handbags,Blue,Winter,Casual,21998.jpg
25235,Women,Accessories,Bags,Backpacks,Blue,Winter,Casual,25235.jpg
8078,Men,Footwear,Sandal,Sandals,Blue,Fall,Casual,8078.jpg
45029,Men,Accessories,Watches,Watches,Black,Winter,Casual,45029.jpg
52323,Women,Accessories,Jewellery,Bangle,White,Winter,Casual,52323.jpg
18991,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,18991.jpg
7066,Unisex,Accessories,Bags,Backpacks,Black,Summer,Sports,7066.jpg
56161,Women,Personal Care,Eyes,Kajal and Eyeliner,Brown,Spring,Casual,56161.jpg
27624,Men,Apparel,Bottomwear,Shorts,Cream,Summer,Casual,27624.jpg
51779,Women,Apparel,Innerwear,Briefs,Green,Summer,Casual,51779.jpg
4702,Unisex,Accessories,Watches,Watches,Black,Winter,Sports,4702.jpg
57921,Men,Accessories,Socks,Socks,Black,Summer,Casual,57921.jpg
47162,Men,Accessories,Belts,Belts,Brown,Summer,Casual,47162.jpg
22075,Women,Apparel,Topwear,Kurtas,Off White,Fall,Ethnic,22075.jpg
6418,Men,Footwear,Flip Flops,Flip Flops,Grey,Summer,Casual,6418.jpg
59220,Women,Accessories,Watches,Watches,Gold,Winter,Casual,59220.jpg
11115,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal,11115.jpg
4162,Women,Apparel,Topwear,Tshirts,Green,Summer,Casual,4162.jpg
25603,Men,Accessories,Watches,Watches,Black,Winter,Casual,25603.jpg
28358,Men,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,28358.jpg
15319,Men,Apparel,Topwear,Jackets,Navy Blue,Fall,Casual,15319.jpg
50992,Women,Apparel,Loungewear and Nightwear,Nightdress,Beige,Summer,Casual,50992.jpg
12520,Men,Footwear,Shoes,Casual Shoes,Black,Winter,Casual,12520.jpg
58294,Men,Accessories,Socks,Socks,Black,Summer,Sports,58294.jpg
4223,Men,Apparel,Topwear,Tshirts,Green,Summer,Casual,4223.jpg
39180,Women,Apparel,Topwear,Kurtas,Black,Summer,Ethnic,39180.jpg
54320,Women,Apparel,Innerwear,Briefs,Pink,Summer,Casual,54320.jpg
13301,Men,Apparel,Bottomwear,Shorts,Beige,Fall,Casual,13301.jpg
37099,Men,Apparel,Topwear,Tshirts,Green,Summer,Casual,37099.jpg
17223,Women,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,17223.jpg
34507,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,Formal,34507.jpg
18998,Unisex,Accessories,Scarves,Scarves,Black,Fall,Casual,18998.jpg
9425,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal,9425.jpg
17746,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,17746.jpg
7822,Women,Footwear,Shoes,Casual Shoes,Grey,Fall,Casual,7822.jpg
40029,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,40029.jpg
20946,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,Casual,20946.jpg
13460,Men,Apparel,Topwear,Shirts,Green,Summer,Casual,13460.jpg
42996,Women,Footwear,Shoes,Sports Shoes,White,Summer,Sports,42996.jpg
22881,Men,Footwear,Sandal,Sports Sandals,Khaki,Winter,Casual,22881.jpg
54134,Women,Footwear,Shoes,Heels,Brown,Winter,Casual,54134.jpg
4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,Sports,4524.jpg
58702,Women,Apparel,Topwear,Kurtas,Multi,Summer,Ethnic,58702.jpg
34484,Women,Apparel,Topwear,Tops,Brown,Summer,Casual,34484.jpg
30463,Women,Apparel,Innerwear,Bra,Pink,Summer,Casual,30463.jpg
32007,Men,Accessories,Socks,Socks,Black,Summer,Casual,32007.jpg
54865,Women,Accessories,Jewellery,Necklace and Chains,Red,Fall,Casual,54865.jpg
19962,Men,Apparel,Topwear,Sweaters,Grey,Fall,Casual,19962.jpg
37776,Men,Apparel,Topwear,Shirts,White,Summer,Casual,37776.jpg
45216,Women,Accessories,Watches,Watches,White,Winter,Casual,45216.jpg
10682,Men,Apparel,Topwear,Tshirts,Tan,Fall,Casual,10682.jpg
15736,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,15736.jpg
34241,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,34241.jpg
20368,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,20368.jpg
57878,Women,Personal Care,Skin Care,Mask and Peel,Beige,Spring,Casual,57878.jpg
12079,Women,Apparel,Topwear,Kurtas,Yellow,Fall,Ethnic,12079.jpg
8191,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Casual,8191.jpg
42837,Women,Accessories,Bags,Handbags,Black,Summer,Casual,42837.jpg
51934,Women,Accessories,Bags,Handbags,Yellow,Summer,Casual,51934.jpg
24107,Men,Footwear,Flip Flops,Flip Flops,Red,Fall,Casual,24107.jpg
18721,Women,Apparel,Topwear,Tops,Pink,Fall,Casual,18721.jpg
58533,Unisex,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,58533.jpg
20689,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,Casual,20689.jpg
23211,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,23211.jpg
23917,Women,Footwear,Shoes,Casual Shoes,White,Summer,Casual,23917.jpg
52990,Women,Apparel,Saree,Sarees,Multi,Fall,Ethnic,52990.jpg
52983,Women,Apparel,Saree,Sarees,Maroon,Fall,Ethnic,52983.jpg
15202,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,15202.jpg
14976,Men,Accessories,Belts,Belts,Black,Fall,Formal,14976.jpg
38186,Women,Accessories,Eyewear,Sunglasses,Silver,Winter,Casual,38186.jpg
8403,Men,Apparel,Topwear,Tshirts,Blue,Fall,Sports,8403.jpg
20490,Women,Accessories,Bags,Handbags,Brown,Winter,Casual,20490.jpg
59223,Women,Accessories,Watches,Watches,Silver,Winter,Casual,59223.jpg
51442,Women,Apparel,Topwear,Tops,White,Summer,Casual,51442.jpg
51006,Women,Apparel,Innerwear,Bra,Brown,Summer,Casual,51006.jpg
59728,Women,Apparel,Innerwear,Bra,Pink,Summer,Casual,59728.jpg
50342,Women,Apparel,Topwear,Kurtis,Purple,Summer,Ethnic,50342.jpg
8202,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,8202.jpg
3305,Men,Footwear,Shoes,Sports Shoes,Grey,Spring,Sports,3305.jpg
23752,Unisex,Accessories,Eyewear,Sunglasses,Pink,Winter,Casual,23752.jpg
33230,Unisex,Accessories,Bags,Laptop Bag,Brown,Summer,Casual,33230.jpg
48470,Women,Apparel,Dress,Dresses,Teal,Summer,Casual,48470.jpg
52299,Men,Apparel,Innerwear,Boxers,Red,Summer,Casual,52299.jpg
2578,Women,Apparel,Bottomwear,Capris,White,Summer,Casual,2578.jpg
40087,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,40087.jpg
22505,Women,Footwear,Shoes,Casual Shoes,Grey,Winter,Casual,22505.jpg
3951,Women,Apparel,Topwear,Tops,Navy Blue,Summer,Casual,3951.jpg
12821,Women,Footwear,Shoes,Casual Shoes,Blue,Fall,Casual,12821.jpg
26721,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,26721.jpg
10295,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,Casual,10295.jpg
7418,Women,Apparel,Topwear,Kurtas,Green,Summer,Ethnic,7418.jpg
19402,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,19402.jpg
25632,Women,Accessories,Watches,Watches,Pink,Winter,Casual,25632.jpg
51577,Men,Accessories,Watches,Watches,Red,Winter,Casual,51577.jpg
13224,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,13224.jpg
6032,Women,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,6032.jpg
14676,Men,Apparel,Topwear,Shirts,Brown,Fall,Casual,14676.jpg
18784,Men,Accessories,Ties,Ties,Lavender,Summer,Formal,18784.jpg
