file_path,labels
/content/drive/My Drive/iMaterialist2000/538eb83d7360462e2a799417-large.jpg,Dress Shirts;Green;Pink;Female;Collared;Long Sleeved
/content/drive/My Drive/iMaterialist2000/553620b8d57a010c1d38645c-large.jpg,Shorts;Female;Denim;Ripped
/content/drive/My Drive/iMaterialist2000/595388b61bb25874af2789a2-large.jpg,Skirts;Brown;Blue;Gray;Pink;Black;Yellow;Red;Female;Sleeveless;Pleated
/content/drive/My Drive/iMaterialist2000/59ab99620b18267c7f60d726-large.jpg,Costumes & Cosplay;Neutral;Round Neck;Short Sleeves;Vintage Retro
/content/drive/My Drive/iMaterialist2000/55519d27f486251be84cac64-large.jpg,T-Shirts;White;Female;Cotton;Round Neck;Short Sleeves;Printed
/content/drive/My Drive/iMaterialist2000/54003721236aae77174cf1e8-large.jpg,Female;Sweetheart Neckline;Leopard And Cheetah;Strapless
/content/drive/My Drive/iMaterialist2000/576a5272ee4a35624335c49c-large.jpg,Tank Tops;Female;U-Necks;Sleeveless;Peplum
/content/drive/My Drive/iMaterialist2000/5746c9c549a32b60bd9c1451-large.jpg,Casual Dresses;Pink;Female;Lace;V-Necks;Sleeveless;Spaghetti Straps
/content/drive/My Drive/iMaterialist2000/593bb1fc7964e052ad448a77-large.jpg,Dresses;Blue;White;Female;Off The Shoulder;Floral
/content/drive/My Drive/iMaterialist2000/59c8cde4763a8f4af1b7f945-large.jpg,Jackets;Blue;Gray;Pink;Black;Neutral
/content/drive/My Drive/iMaterialist2000/579eff9b87c7c65cd277b72b-large.jpg,Nightgowns;White;Female;Lace;Satin;Floral
/content/drive/My Drive/iMaterialist2000/537504c23d4f360dc89a40e8-large.jpg,Skirts;Blue;Black;White;Female;Square Necked;Paisley;Sleeveless;Pleated
/content/drive/My Drive/iMaterialist2000/579afb283222f42e704d72f6-large.jpg,Dresses;Black;Female;Lace;Off The Shoulder;Sleeveless;Spaghetti Straps
/content/drive/My Drive/iMaterialist2000/594296f3c64a4a61c11fc936-large.jpg,T-Shirts;Neutral;Cotton;Round Neck;Short Sleeves
/content/drive/My Drive/iMaterialist2000/59c46fa4f581d137dbe5c161-large.jpg,Capes & Capelets;Female;Furry
/content/drive/My Drive/iMaterialist2000/561ca355a167d309b812dad8-large.jpg,Dresses;Female;Polyester;Round Neck;Long Sleeved;Bodycon
/content/drive/My Drive/iMaterialist2000/5244f0263deaf714ebcb2c7b-large.jpg,Casual Pants;Black;Male;Denim;Round Neck;Long Sleeved
/content/drive/My Drive/iMaterialist2000/5524970d23e2274ada369c0e-large.jpg,T-Shirts;Red;Female;Cotton;Shoulder Drapes;Short Sleeves;Printed
/content/drive/My Drive/iMaterialist2000/51e222527d41a236d29cc209-large.jpg,Skirts;Black;Female;Sweetheart Neckline;Sleeveless;Pleated
/content/drive/My Drive/iMaterialist2000/56948df23e7e7c0f6dc9d563-large.jpg,Formal Dresses;Black;Female;V-Necks;Long Sleeved;Wrap
/content/drive/My Drive/iMaterialist2000/55d2c599d408b5103a46a950-large.jpg,Blouses;White;Female;Cotton;Shoulder Drapes;Long Sleeved;Tunic
/content/drive/My Drive/iMaterialist2000/58e60233301d5a31da668c6b-large.jpg,Blouses;Female;Round Neck;Short Sleeves;Asymmetric
/content/drive/My Drive/iMaterialist2000/542287a27541ce77d1af9aca-large.jpg,Dresses;Black;Female;Spandex;Round Neck;Sleeveless;Bodycon
/content/drive/My Drive/iMaterialist2000/541bdb812754c8090f3ab068-large.jpg,Dress Shirts;Blue;Black;White;Male;Collared;Long Sleeved;Printed
/content/drive/My Drive/iMaterialist2000/58c38f11922ac619bfa79180-large.jpg,Dress Shirts;Male;Collared;Long Sleeved
/content/drive/My Drive/iMaterialist2000/557083599add09292b644875-large.jpg,Baggy Jeans;Male;Denim;Ripped
/content/drive/My Drive/iMaterialist2000/57e246574a6af335f616c7fe-large.jpg,Athletic Shorts;Gray;Green;Pink;Black;Purple;Red;Female
/content/drive/My Drive/iMaterialist2000/56d52f4fcf0af229ad8a1acc-large.jpg,Hoodies & Sweatshirts;Male;Long Sleeved;Printed
/content/drive/My Drive/iMaterialist2000/58e46114bb743a187a101fcf-large.jpg,Swimsuits;Female;Spandex;Nylon
/content/drive/My Drive/iMaterialist2000/53a92a13928d820cd7534776-large.jpg,Party Dresses;Female;V-Necks;Sequins;Long Sleeved;Beaded
/content/drive/My Drive/iMaterialist2000/577f1bc81132c17e16a7c04b-large.jpg,Tank Tops;Black;Female;Racerback;Sleeveless
/content/drive/My Drive/iMaterialist2000/576356a3b7dd0d6243c145ae-large.jpg,Casual Dresses;Female;Nylon;Polyester;Round Neck;Stripes;Sleeveless;Summer
/content/drive/My Drive/iMaterialist2000/53e8940bb8f432181d6518f9-large.jpg,Jumpsuits Overalls & Rompers;Neutral;Tulle;Round Neck;Sleeveless;Peplum
/content/drive/My Drive/iMaterialist2000/59d92f397e352632865b3fb1-large.jpg,Maternity;Neutral;Cotton;U-Necks
/content/drive/My Drive/iMaterialist2000/534f76b15011690e8c048948-large.jpg,Dresses;Blue;Female;Denim;Sleeveless;Criss Cross
/content/drive/My Drive/iMaterialist2000/52f0193f9f5ef7430dcb8860-large.jpg,Tank Tops;Blue;White;Male;Cotton;Round Neck;Sleeveless;Printed
/content/drive/My Drive/iMaterialist2000/53d1f6fb4fd4991077f3306a-large.jpg,Casual Dresses;Female;Chiffon;Round Neck;Sleeveless;Summer
/content/drive/My Drive/iMaterialist2000/566a452d1ba9a7460936187a-large.jpg,Dresses;Female;Sleeveless;Asymmetric
/content/drive/My Drive/iMaterialist2000/56bffa95c3e09b4c29c6bf2c-large.jpg,Tank Tops;Female;Chiffon;Round Neck;Chevron;Sleeveless;Spaghetti Straps
/content/drive/My Drive/iMaterialist2000/571609adbb2ff65ea9e74db6-large.jpg,Casual Dresses;Female;Linen;Cotton;Round Neck;Sleeveless;Summer
/content/drive/My Drive/iMaterialist2000/590430baea70742502676f1b-large.jpg,Crop Tops;Blue;Yellow;Female;Off The Shoulder;Polka Dot;Long Sleeved
/content/drive/My Drive/iMaterialist2000/56da59f339a385132b28e0bb-large.jpg,Casual Pants;Male
/content/drive/My Drive/iMaterialist2000/58da3a402a47103dd664fab3-large.jpg,Dresses;Black;Female;Lace;Round Neck;Sleeveless;Bodycon
/content/drive/My Drive/iMaterialist2000/55ec5e87bfd27e106497c0a4-large.jpg,Jumpsuits Overalls & Rompers;Black;Female;Lace;V-Necks;Long Sleeved;Bodycon
/content/drive/My Drive/iMaterialist2000/53beee787a66541f17fbdc4e-large.jpg,Skirts;Female;Round Neck;Floral;Long Sleeved;Printed
/content/drive/My Drive/iMaterialist2000/561492df2534721ba350e7c7-large.jpg,Casual Dresses;Female;Off The Shoulder;Sleeveless;Summer
/content/drive/My Drive/iMaterialist2000/569466ee71edd1094879c113-large.jpg,Hoodies & Sweatshirts;Black;Female;Fleece;Long Sleeved;Bodycon
/content/drive/My Drive/iMaterialist2000/539e9af0a4e89a1cf6919d8f-large.jpg,Hoodies & Sweatshirts;Female;Faux Fur;Wool;Round Neck;Long Sleeved;Furry
/content/drive/My Drive/iMaterialist2000/574505ecffa14213da65322d-large.jpg,Gray;Female;Lace;Backless Dresses;Long Sleeved
/content/drive/My Drive/iMaterialist2000/55339390d39b0c41e74badff-large.jpg,Casual Pants;Male;Denim;Ripped;Printed
/content/drive/My Drive/iMaterialist2000/535b231e50496e4b28b8a890-large.jpg,Cocktail Dresses;Female;Taffeta;Sweetheart Neckline;Ruched;Strapless;Pleated
/content/drive/My Drive/iMaterialist2000/5776488b0229810157a29324-large.jpg,Casual Dresses;Blue;Red;Female;Polyester;Round Neck;Long Sleeved;Pleated
/content/drive/My Drive/iMaterialist2000/520e2f353deaf71392104529-large.jpg,Casual Dresses;Female;Round Neck;Sleeveless;Summer
/content/drive/My Drive/iMaterialist2000/57a5a4aaecacab07f0ed5d56-large.jpg,Petticoats;Blue;Green;Pink;Black;White;Purple;Red;Female;Tulle;Ruffles;Pleated
/content/drive/My Drive/iMaterialist2000/58c6072fc7400d53347bb59e-large.jpg,Casual Shorts;Male
/content/drive/My Drive/iMaterialist2000/572d13650537ba1ede3b1d8f-large.jpg,Swimsuits;Black;Female;Polyester;V-Necks;Leopard And Cheetah;Sleeveless
/content/drive/My Drive/iMaterialist2000/59eb6f9aea48ae418db71afe-large.jpg,Uniforms;Green;Female;Camouflage;Short Sleeves
/content/drive/My Drive/iMaterialist2000/59d6466c4f74ae35419e9591-large.jpg,Jackets;Blue;Gray;Red;Male;Collared
/content/drive/My Drive/iMaterialist2000/567cdb2655e4d077950fda8b-large.jpg,Dresses;Red;Female;Long Sleeved;Bodycon
/content/drive/My Drive/iMaterialist2000/5422872e51bd9b0a857ee4e5-large.jpg,Casual Pants;Male;Fleece;Pin Stripes
/content/drive/My Drive/iMaterialist2000/547f227a47aacf3130ef328c-large.jpg,Dress Shirts;Blue;White;Red;Male;Round Neck;Long Sleeved
/content/drive/My Drive/iMaterialist2000/5975563caeaafb795b906fad-large.jpg,T-Shirts;Black;White;Neutral;Cotton;Round Neck;Short Sleeves
/content/drive/My Drive/iMaterialist2000/54378ebde0ab040f074e4055-large.jpg,Suits & Blazers;Black;Male;V-Necks;Long Sleeved
/content/drive/My Drive/iMaterialist2000/57581d9f9f637e60c1d46b33-large.jpg,Kimonos;Green;Orange;Pink;White;Yellow;Female;Cotton;Floral
/content/drive/My Drive/iMaterialist2000/548a4840fec672101e68e57d-large.jpg,Costumes & Cosplay;Female;Sleeveless;Vintage Retro
/content/drive/My Drive/iMaterialist2000/55d73edc959e66103c5f3a55-large.jpg,Pencil Skirts;Blue;Green;Orange;Black;Neutral;Polyester
/content/drive/My Drive/iMaterialist2000/525fa9983deaf70b24e80c6a-large.jpg,Cardigans;Black;Male;Long Sleeved;Printed
/content/drive/My Drive/iMaterialist2000/56136a64ecd2790484ff7c98-large.jpg,Costumes & Cosplay;White;Female
/content/drive/My Drive/iMaterialist2000/592a0170b12dc00e9f698656-large.jpg,Tank Tops;Female;U-Necks;Sleeveless;Spaghetti Straps
/content/drive/My Drive/iMaterialist2000/538b444a9ff3e10c9b405b38-large.jpg,Female;Leather;Round Neck;Quilted;Long Sleeved
/content/drive/My Drive/iMaterialist2000/56304077ac94a60fe76f5761-large.jpg,Bubble Coats;Male;Faux Fur;Collared;Quilted;Furry
/content/drive/My Drive/iMaterialist2000/5657c47f37c4476686c03021-large.jpg,Dresses;Black;Gold;Female;Spandex;Polyester;Round Neck;Sleeveless;Bodycon
/content/drive/My Drive/iMaterialist2000/569db274d1dda51175abaa3a-large.jpg,Uniforms;Female;Long Sleeved
/content/drive/My Drive/iMaterialist2000/5410014dc611d60af1e1ff04-large.jpg,Neutral;Knit;Round Neck;Long Sleeved;Printed
/content/drive/My Drive/iMaterialist2000/53997c45c3fa330c785fa610-large.jpg,Shorts;Male;Spandex;Stripes;Printed
/content/drive/My Drive/iMaterialist2000/5506e76402873d09514fb7f6-large.jpg,Skirts;Black;Female;Cotton;Polyester;Collared;Short Sleeves
/content/drive/My Drive/iMaterialist2000/5362dbaa9d704e40c50c4eee-large.jpg,Robes;Female;Round Neck;Floral;Sleeveless;Pleated
/content/drive/My Drive/iMaterialist2000/558b7e1a390981401dd6bb40-large.jpg,Party Dresses;Female;Sweetheart Neckline;Ruched;Strapless;Bodycon
/content/drive/My Drive/iMaterialist2000/5818896aa7778f2112d57073-large.jpg,Costumes & Cosplay;Female;Lace;Mesh;Hollow-Out
/content/drive/My Drive/iMaterialist2000/53708d06017cff0cc5123fcd-large.jpg,Skirts;Female;Round Neck;Short Sleeves;Peplum
/content/drive/My Drive/iMaterialist2000/557a71db236a581b95586db4-large.jpg,Swimsuit Cover-ups;Blue;Beige;Black;White;Female;V-Necks;Sleeveless;Summer
/content/drive/My Drive/iMaterialist2000/5377555d43d24777931063ae-large.jpg,Skinny Jeans;Female;Ripped
/content/drive/My Drive/iMaterialist2000/53861a00796f686de003db0f-large.jpg,Peacoats;Male;Wool;V-Necks;Long Sleeved
/content/drive/My Drive/iMaterialist2000/5947cca0d8dcd0026bd208f0-large.jpg,Swimsuits;Female;Sleeveless
/content/drive/My Drive/iMaterialist2000/561360737500de0fdbf0b242-large.jpg,Blouses;Female;Chiffon;Round Neck;Long Sleeved;Tunic
/content/drive/My Drive/iMaterialist2000/57d11467589f3b135aa5e3a7-large.jpg,Thigh Highs;Female;Cotton;Knit;Crochet
/content/drive/My Drive/iMaterialist2000/5539b8fb2846b60c20f1f8f5-large.jpg,Skirts;Female;Chiffon;Round Neck;Long Sleeved;Pleated
/content/drive/My Drive/iMaterialist2000/536000f51844da0de06ec722-large.jpg,T-Shirts;Black;White;Male;Cotton;Round Neck;Hearts;Short Sleeves;Printed
/content/drive/My Drive/iMaterialist2000/55f5dea137c447275eff057f-large.jpg,Cardigans;Female;Knit;Long Sleeved;Furry
/content/drive/My Drive/iMaterialist2000/532a88c70a74fb6c353a9057-large.jpg,Casual Dresses;Blue;Female;Cotton;Lace;Round Neck;Short Sleeves;Bodycon
/content/drive/My Drive/iMaterialist2000/52376d951c23884439acf0be-large.jpg,Tank Tops;White;Female;Cotton;U-Necks;Sleeveless;Printed
/content/drive/My Drive/iMaterialist2000/57b2bf5022ab445ed5b8c78a-large.jpg,Tank Tops;Female;Racerback;Sleeveless
/content/drive/My Drive/iMaterialist2000/5596d4d289705b71e565f6f7-large.jpg,Blouses;Green;White;Red;Female;Chiffon;V-Necks;Long Sleeved;Peplum
/content/drive/My Drive/iMaterialist2000/5679043e0ca71b2d7d8952c3-large.jpg,Skirts;Multi Color;Female;Organza;Ruffles;Short Sleeves;Pleated
/content/drive/My Drive/iMaterialist2000/5773a205b34da278454dfe24-large.jpg,Dresses;Black;Female;Sleeveless;Bandage
/content/drive/My Drive/iMaterialist2000/52376ddb3deaf730e983c98b-large.jpg,Tank Tops;Blue;Black;Red;Female;Cotton;U-Necks;Sleeveless;Printed
/content/drive/My Drive/iMaterialist2000/5408a24dc5c246615b2dc6de-large.jpg,Jeans;Male;Cotton;Printed
/content/drive/My Drive/iMaterialist2000/5537429900bfac395d2506dc-large.jpg,Blouses;Blue;Black;Red;Female;Chiffon;Round Neck;Short Sleeves;Rhinestone Studded
/content/drive/My Drive/iMaterialist2000/5188fa46e0a1f821a4ff1306-large.jpg,Skirts;Pink;Female;Cotton;Knit;Round Neck;Short Sleeves;Pleated
/content/drive/My Drive/iMaterialist2000/586f11d7cbad9860ea7a94da-large.jpg,Dress Shirts;Male;Cotton;Collared;Long Sleeved
/content/drive/My Drive/iMaterialist2000/571c41ec668e435ebb4178e3-large.jpg,Dresses;Blue;Purple;Female;Cotton;Sleeveless;Bodycon
/content/drive/My Drive/iMaterialist2000/55d6f6acd7ffcf3752f8de21-large.jpg,Batwing Tops;Gray;Female;Cotton;Round Neck;Long Sleeved
/content/drive/My Drive/iMaterialist2000/53e6189fd91139042a1bb877-large.jpg,White;Female;Knit;Round Neck;Long Sleeved;Furry
/content/drive/My Drive/iMaterialist2000/57e9583cb8a56d631ee05059-large.jpg,Beige;Black;Female;Knit;V-Necks;Long Sleeved;Bodycon
/content/drive/My Drive/iMaterialist2000/56697d1673bd6d3e36bbd69b-large.jpg,Skirts;Female;Denim;Bodycon
/content/drive/My Drive/iMaterialist2000/59b6510621b48314c06d37af-large.jpg,Robes;Female;Fleece;Flannel
/content/drive/My Drive/iMaterialist2000/57fb731d889d5220eaefe6e3-large.jpg,Pullover Sweaters;Beige;Gray;Green;Pink;White;Purple;Female;Knit;V-Necks;Long Sleeved
/content/drive/My Drive/iMaterialist2000/54d1e54726d9e309853c481f-large.jpg,Blouses;Female;Shoulder Drapes;Long Sleeved;Peplum
/content/drive/My Drive/iMaterialist2000/57e53c242ba33d1b4276de92-large.jpg,Uniforms;Female;V-Necks;Short Sleeves
/content/drive/My Drive/iMaterialist2000/56d44b02aa761719eef60c7a-large.jpg,Leggings;Female;Spandex;Polyester;Printed
/content/drive/My Drive/iMaterialist2000/55f930e85790185825e12828-large.jpg,Skirts;Black;White;Female;Polyester;Round Neck;Polka Dot;Sleeveless;Pleated
/content/drive/My Drive/iMaterialist2000/59b3a4952ab5c249d9bfd98d-large.jpg,Cardigans;Female;Off The Shoulder;Long Sleeved
/content/drive/My Drive/iMaterialist2000/55793ff62a43c719d4b0dcc9-large.jpg,Polos;Green;Black;White;Male;Cotton;Collared;Short Sleeves
/content/drive/My Drive/iMaterialist2000/53bada9288d7ee49c4d0d5de-large.jpg,Casual Shirts;Male;Round Neck;Long Sleeved;Printed
/content/drive/My Drive/iMaterialist2000/58ff52b998042a19c03dc769-large.jpg,T-Shirts;White;Male;Cotton;Round Neck;Short Sleeves
/content/drive/My Drive/iMaterialist2000/5763aab7b7dd0d622dc1a7b9-large.jpg,Maternity;White;Female;Off The Shoulder;Short Sleeves
NA,Leggings;Female
/content/drive/My Drive/iMaterialist2000/57c3f0106eeb0d23483b6b5f-large.jpg,Dresses;Female;Cotton;Off The Shoulder;Long Sleeved;Summer
/content/drive/My Drive/iMaterialist2000/56a895dd85074026a49d0b30-large.jpg,Dance Wear;Gray;Pink;Black;White;Purple;Red;Female
/content/drive/My Drive/iMaterialist2000/539daa08a4e89a6d70919c1a-large.jpg,Dresses;Female;Shoulder Drapes;Short Sleeves;Hollow-Out
/content/drive/My Drive/iMaterialist2000/575671d50b1f8d6287a48681-large.jpg,Casual Pants;Green;Female;Ripped
/content/drive/My Drive/iMaterialist2000/578747de12db0605ee0f243f-large.jpg,Casual Dresses;Female;Off The Shoulder;Sleeveless;Vintage Retro
/content/drive/My Drive/iMaterialist2000/58f2dba64fc27411a2748cf7-large.jpg,Athletic Shorts;Male;Spandex;Nylon;Polyester
/content/drive/My Drive/iMaterialist2000/54b8c1c26d542d096076a5b3-large.jpg,Female;Faux Fur;Sleeveless;Furry
/content/drive/My Drive/iMaterialist2000/5915a9a0b47ccc27a10ca93e-large.jpg,Dresses;Female;V-Necks;Sleeveless;Pleated
/content/drive/My Drive/iMaterialist2000/535d3545d51bb37e1baddc54-large.jpg,"Hosiery, Stockings, Tights;Female;Lace;Spaghetti Straps"
